CompanyName,CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1,RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,URI
Marlborough Enterprises LIMITED,01000000,,,75 High Street,,Sheffield,,United Kingdom,CF10 1RA,Private Limited Company,Active,United Kingdom,,22/05/2011,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000000
Fairhaven Investments PLC,01000001,,,59 Kings Avenue,,Cardiff,,United Kingdom,EC1V 3SG,Private Limited Company,Active,United Kingdom,,17/05/2006,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000001
Pinnacle Properties LTD,SC1000002,,,249 Mill Lane,,London,,United Kingdom,SW1A 9WP,Private Limited Company,Active,United Kingdom,,11/04/1999,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/SC1000002
Ashcroft Capital 11 LIMITED,01000003,,,18 Kings Avenue,,Birmingham,,United Kingdom,BS1 8QN,Private Limited Company,Liquidation,United Kingdom,,18/10/2022,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000003
Kingsway Capital PLC,01000004,,,176 Station Road,,Edinburgh,,United Kingdom,N1 9HG,Private Limited Company,Active,United Kingdom,,08/03/2017,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000004
Harbourview Management 6 LTD,01000005,,,162 Kings Avenue,,Leeds,,United Kingdom,L1 4SF,Private Limited Company,Active,United Kingdom,,16/01/2015,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000005
Harbourview Properties 34 LIMITED,01000006,,,98 High Street,,Liverpool,,United Kingdom,BS1 6SB,Private Limited Company,Active,United Kingdom,,21/05/1998,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000006
Harbourview Resources PLC,01000007,,,34 High Street,,London,,United Kingdom,EH1 3QJ,Private Limited Company,Active,United Kingdom,,02/07/2008,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000007
Silverline Investments LLP,01000008,,,102 Station Road,,Glasgow,,United Kingdom,CF10 1RB,Private Limited Company,Active,United Kingdom,,25/09/2018,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000008
Meridian Resources PLC,01000009,,,130 Bridge Street,,Edinburgh,,United Kingdom,BS1 6DD,Private Limited Company,Dissolved,United Kingdom,,06/09/1998,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000009
Harbourview Investments PLC,01000010,,,81 Manor Way,,Sheffield,,United Kingdom,N1 7AH,Private Limited Company,Active,United Kingdom,,15/12/1997,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000010
Whitehall Enterprises 29 PLC,01000011,,,221 Bridge Street,,Sheffield,,United Kingdom,G2 7FE,Private Limited Company,Active,United Kingdom,,23/12/2011,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000011
Crestwood Capital LLP,01000012,,,215 Queens Road,,Glasgow,,United Kingdom,S1 8AT,Private Limited Company,Active,United Kingdom,,18/12/2011,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000012
Ironbridge Management PLC,01000013,,,12 Mill Lane,,Sheffield,,United Kingdom,WC2H 4JD,Private Limited Company,Active,United Kingdom,,03/12/2017,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000013
Sterling Capital PLC,01000014,,,119 Mill Lane,,Edinburgh,,United Kingdom,LS1 1DJ,Private Limited Company,Active,United Kingdom,,10/08/2001,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000014
Redwood Resources PLC,01000015,,,13 Church Lane,,Sheffield,,United Kingdom,LS1 9DR,Private Limited Company,Active,United Kingdom,,13/05/2012,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000015
Marlborough Enterprises LLP,01000016,,,54 Victoria Road,,Birmingham,,United Kingdom,B3 1JR,Private Limited Company,Dissolved,United Kingdom,,15/05/1991,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000016
Thornbury Partners LLP,01000017,,,118 Queens Road,,Edinburgh,,United Kingdom,BS1 9EW,Private Limited Company,Active,United Kingdom,,25/04/2021,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000017
Ludgate Properties LIMITED,01000018,,,25 Kings Avenue,,Glasgow,,United Kingdom,N1 3PW,Private Limited Company,Active,United Kingdom,,11/01/1998,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000018
Ludgate Trading LLP,01000019,,,109 Kings Avenue,,Leeds,,United Kingdom,S1 4AA,Private Limited Company,Active,United Kingdom,,14/12/2003,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000019
Beaconsfield Partners LIMITED,01000020,,,96 Manor Way,,London,,United Kingdom,N1 3UY,Private Limited Company,Liquidation,United Kingdom,,11/08/2020,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000020
Ravensworth Management PLC,01000021,,,243 Park View,,Manchester,,United Kingdom,LS1 3GU,Private Limited Company,Active,United Kingdom,,17/11/2012,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000021
Kingsway Management LIMITED,01000022,,,228 High Street,,Cardiff,,United Kingdom,WC2H 4SZ,Private Limited Company,Active,United Kingdom,,24/01/1998,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000022
Harbourview Investments 23 LIMITED,01000023,,,31 Station Road,,Sheffield,,United Kingdom,LS1 5HQ,Private Limited Company,Active,United Kingdom,,07/06/1999,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000023
Marlborough Holdings 9 PLC,01000024,,,144 Station Road,,Cardiff,,United Kingdom,CF10 7PH,Private Limited Company,Active,United Kingdom,,09/07/1992,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000024
Ravensworth Investments LTD,01000025,,,212 Bridge Street,,Leeds,,United Kingdom,G2 3ZX,Private Limited Company,Active,United Kingdom,,12/05/2015,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000025
Beaconsfield Holdings PLC,SC1000026,,,245 Park View,,Sheffield,,United Kingdom,S1 4UG,Private Limited Company,Active,United Kingdom,,22/10/1994,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/SC1000026
Sterling Capital LLP,01000027,,,3 Queens Road,,London,,United Kingdom,S1 6RF,Private Limited Company,Active,United Kingdom,,19/05/2001,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000027
Ravensworth Partners LLP,01000028,,,122 Church Lane,,Leeds,,United Kingdom,CF10 2YE,Private Limited Company,Active,United Kingdom,,17/08/2010,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000028
